ids,Station_Prox,bedrooms_model,bathrooms_model,compass,borough_name,propertySubType,tenure.tenureType,tenure.yearsRemainingOnLease,address.outcode,address.incode,location.latitude,location.longitude,analyticsProperty.added,analyticsProperty.auctionOnly,analyticsProperty.minSizeFt,analyticsProperty.maxSizeFt,prices.pricePerSqFt,analyticsProperty.ownership,analyticsProperty.preOwned,analyticsProperty.priceQualifier,analyticsProperty.soldSTC,Price
118851122,0.7,1.0,1.0,SE,Bromley,Flat,LEASEHOLD,,SE9,4PQ,51.43243,0.03733,20220118,False,,,,Non-shared ownership,Resale,Guide Price,True,200000.0
123292304,0.1,2.0,1.0,BR,Bromley,Apartment,LEASEHOLD,,BR1,1TT,51.402074,0.017632,20220512,False,,,,Non-shared ownership,Resale,None,True,POA
120326048,0.1,,1.0,SE,Bromley,Flat,LEASEHOLD,,SE20,8BQ,51.41737,-0.07149,20220224,False,,,,Non-shared ownership,Resale,None,True,210000.0
116381825,0.4,3.0,1.0,BR,Bromley,End of Terrace,FREEHOLD,,BR6,6EJ,51.355442,0.098734,20211116,False,,,,Non-shared ownership,Resale,Offers in Excess of,False,600000.0
111715091,0.4,1.0,1.0,SE,Bromley,Apartment,LEASEHOLD,,SE20,8FB,51.406578,-0.064641,20210810,False,,,,Non-shared ownership,Resale,Guide Price,True,150000.0
123813146,0.2,2.0,1.0,SE,Bromley,Flat,LEASEHOLD,,SE20,7TX,51.40531,-0.0599,20220601,True,,,,Non-shared ownership,Resale,Guide Price,False,150000.0
63186732,1.5,1.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR5,4QU,51.375878,0.122982,20190620,False,,,,Non-shared ownership,Resale,Offers Over,True,150000.0
115509026,1.5,1.0,1.0,BR,Bromley,Apartment,LEASEHOLD,,BR5,4QU,51.37593,0.123252,20211028,False,,,,Non-shared ownership,Resale,Guide Price,True,165000.0
122957420,1.5,1.0,1.0,BR,Bromley,Apartment,LEASEHOLD,,BR5,4QU,51.375877,0.122962,20220430,False,,,,Non-shared ownership,Resale,None,True,165000.0
122821142,0.1,2.0,1.0,SE,Bromley,Flat,LEASEHOLD,,SE12,9TN,51.43069,0.02402,20220426,False,,,,Non-shared ownership,Resale,Guide Price,True,170000.0
115164164,0.3,1.0,1.0,SE,Bromley,Flat,LEASEHOLD,,SE12,9TY,51.43133,0.02836,20211021,False,,,,Non-shared ownership,Resale,Guide Price,True,170000.0
119695433,0.8,1.0,1.0,SE,Bromley,Flat,LEASEHOLD,,SE9,4EQ,51.427883,0.046914,20220208,False,,,,Non-shared ownership,Resale,Offers Over,True,175000.0
